,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021800207,165,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,2,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,112,246,1,0,20181114,MIL,MEM
1,Shot Chart Detail,0021800449,622,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,1,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,111,152,1,1,20181217,GSW,MEM
2,Shot Chart Detail,0021800449,626,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,1,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-39,173,1,0,20181217,GSW,MEM
3,Shot Chart Detail,0021800595,645,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,2,51,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-18,123,1,1,20190107,NOP,MEM
4,Shot Chart Detail,0021800595,663,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-152,226,1,0,20190107,NOP,MEM
5,Shot Chart Detail,0021800646,599,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,3,21,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-70,113,1,0,20190114,HOU,MEM
6,Shot Chart Detail,0021800646,628,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,0,14,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20190114,HOU,MEM
7,Shot Chart Detail,0021800660,631,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,5,47,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-25,69,1,0,20190116,MEM,MIL
8,Shot Chart Detail,0021800684,515,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,9,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,119,238,1,1,20190119,TOR,MEM
9,Shot Chart Detail,0021800684,519,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,9,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,11,1,0,20190119,TOR,MEM
10,Shot Chart Detail,0021800684,589,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,3,39,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,25,1,0,20190119,TOR,MEM
11,Shot Chart Detail,0021800684,594,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,3,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,108,0,1,0,20190119,TOR,MEM
12,Shot Chart Detail,0021800684,625,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,0,40,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-109,48,1,1,20190119,TOR,MEM
13,Shot Chart Detail,0021800697,163,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,2,11,31,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,3,1,0,20190121,MEM,NOP
14,Shot Chart Detail,0021800697,628,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,0,23,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,30,133,1,0,20190121,MEM,NOP
15,Shot Chart Detail,0021800801,328,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,2,1,21,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-114,151,1,0,20190205,MEM,MIN
16,Shot Chart Detail,0021800801,499,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,3,0,39,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,16,1,0,20190205,MEM,MIN
17,Shot Chart Detail,0021800801,503,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,3,0,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-11,1,0,20190205,MEM,MIN
18,Shot Chart Detail,0021800801,523,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,10,57,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,10,1,1,20190205,MEM,MIN
19,Shot Chart Detail,0021800801,534,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,9,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-20,1,1,20190205,MEM,MIN
20,Shot Chart Detail,0021800815,127,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,1,3,58,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,1,20190207,OKC,MEM
21,Shot Chart Detail,0021800815,147,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,1,2,50,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,121,1,0,20190207,OKC,MEM
22,Shot Chart Detail,0021800815,198,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,2,10,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-41,252,1,0,20190207,OKC,MEM
23,Shot Chart Detail,0021800815,207,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,2,10,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-6,1,1,20190207,OKC,MEM
24,Shot Chart Detail,0021800815,247,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,2,7,18,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,29,1,0,20190207,OKC,MEM
25,Shot Chart Detail,0021800815,435,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,3,5,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,30,180,1,0,20190207,OKC,MEM
26,Shot Chart Detail,0021800815,625,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,3,3,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,55,1,1,20190207,OKC,MEM
27,Shot Chart Detail,0021800815,661,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,0,19,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-102,104,1,0,20190207,OKC,MEM
28,Shot Chart Detail,0021801091,592,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,7,22,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,124,8,1,0,20190323,MEM,MIN
29,Shot Chart Detail,0021801091,614,1629139,Yuta Watanabe,1610612763,Memphis Grizzlies,4,6,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,7,1,0,20190323,MEM,MIN
